title,Production company,Country,Language,Running time,Budget,Box office,Release date,imdb,metascore,rotten_tomatoes,Directed by,Produced by,Based on,Starring,Music by,Distributed by,Cinematography,Edited by,Screenplay by
Mars Needs Moms,"['Walt Disney Pictures', 'ImageMovers Digital']",United States,English,88,150000000,39200000,11/03/2011,5.4,49,37%,Simon Wells,"['Robert Zemeckis', 'Jack Rapke', 'Steve Starkey', 'Steven Boyd']","['Mars Needs Moms!', 'by', 'Berkeley Breathed']","['Seth Green', 'Dan Fogler', 'Tom Everett Scott', 'Elisabeth Harnois', 'Mindy Sterling', 'Joan Cusack']",John Powell,"['Walt Disney Studios', 'Motion Pictures']",Robert Presley,Wayne Wahrman,"['Simon Wells', 'Wendy Wells']"
Zokkomon,"['Disney World Cinema', 'Walt Disney Pictures India']",India,Hindi,109,,,22/04/2011,4,N/A,50%,Satyajit Bhatkal,,,"['Darsheel Safary', 'Manjari Phadnis', 'Anupam Kher']",Shankar-Ehsaan-Loy,UTV Motion Pictures,Keshav Prakash,Suresh Pai,"['Satyajit Bhatkal', 'Lancy Fernandes', 'Svati Chakravarty Bhatkal']"
African Cats,"['Disneynature', 'Fothergill / Scholey Productions', 'Silverback Films']","['United States', 'France', 'United Kingdom']","['English', 'French']",89,5000000,30900000,22/04/2011,7.6,61,73%,"['Alastair Fothergill', 'Keith Scholey']","['Alix Tidmarsh', 'Keith Scholey']",,,Nicholas Hooper,Walt Disney Studios Motion Pictures,,,
Prom,Walt Disney Pictures,United States,English,104,8000000,10700000,29/04/2011,5.4,50,36%,Joe Nussbaum,"['Ted Griffin', 'Justin Springer']",,"['Aimee Teegarden', 'Thomas McDonell', 'Cameron Monaghan', 'Yin Chang', 'Nicholas Braun', 'Dean Norris', 'Danielle Campbell', 'Nolan Sotillo', 'Kylie Bunbury', 'Christine Elise', 'Raini Rodriguez']",Deborah Lurie,"['Walt Disney Studios', 'Motion Pictures']",Byron Shah,Jeffrey M. Werner,
Pirates of the Caribbean: On Stranger Tides,,United States,English,137,410600000,1046000000,07/05/2011,6.6,45,33%,Rob Marshall,Jerry Bruckheimer,"['On Stranger Tides by Tim Powers', 'Characters by Ted Elliott Terry Rossio Stuart Beattie Jay Wolpert', 'Pirates of the Caribbean by Walt Disney']","['Johnny Depp', 'PenÃ©lope Cruz', 'Ian McShane', 'Kevin R. McNally', 'Geoffrey Rush', 'Sam Claflin', 'Astrid Berges-Frisbey', 'Stephen Graham', 'Richard Griffiths', 'Greg Ellis', 'Ã“scar Jaenada', 'Keith Richards', 'Deobia Oparei']",Hans Zimmer,"['Walt Disney Studios', 'Motion Pictures']",Dariusz Wolski,"['David Brenner', 'Wyatt Smith']",
Cars 2,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,106,200000000,562100000,18/06/2011,6.1,57,39%,John Lasseter,Denise Ream,,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer', 'John Turturro', 'Eddie Izzard']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Jeremy Lasky', 'Sharon Calahan']",Stephen Schaffer,Ben Queen
Winnie the Pooh,,United States,English,69,30000000,50100000,06/04/2011,7.2,74,91%,"['Stephen Anderson', 'Don Hall']","['Peter Del Vecho', 'Clark Spencer']","['A. A. Milne', 'E. H. Shepard']","['Jim Cummings', 'Jack Boulter', 'Travis Oates', 'Bud Luckey', 'Tom Kenny', 'Craig Ferguson', 'Kristen Anderson-Lopez', 'Wyatt Hall', 'Huell Howser']",Henry Jackman,"['Walt Disney Studios', 'Motion Pictures']","['Julio Macat', '(live-action scenes)']",Lisa Linder Silver,
The Muppets,"['Walt Disney Pictures', 'Mandeville Films']",United States,English,103,45000000,165200000,04/11/2011,7.1,75,95%,James Bobin,"['David Hoberman', 'Todd Lieberman']",Disney's Muppet characters and properties,"['Jason Segel', 'Amy Adams', 'Chris Cooper', 'Rashida Jones']",Christophe Beck,"['Walt Disney Studios', 'Motion Pictures']",Don Burgess,James Thomas,
Arrietty,Studio Ghibli,Japan,Japanese,95,23000000,146000000,17/07/2010,7.6,80,95%,Hiromasa Yonebayashi,Toshio Suzuki,"['The Borrowers', 'by', 'Mary Norton']","['Mirai Shida', 'Ryunosuke Kamiki', 'Shinobu Otake', 'Keiko Takeshita', 'Tatsuya Fujiwara', 'Tomokazu Miura', 'Kirin Kiki']",CÃ©cile Corbel,Toho,Atsushi Okui,"['Keiko Kadokawa', 'Rie Matsubara', 'Hiromi Sasaki', 'Takeshi Seyama']","['Hayao Miyazaki', 'Keiko Niwa']"
John Carter,Walt Disney Pictures,United States,English,132,306600000,284100000,22/02/2012,6.6,51,52%,Andrew Stanton,"['Jim Morris', 'Colin Wilson', 'Lindsey Collins']","['A Princess of Mars', 'by', 'Edgar Rice Burroughs']","['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Mark Strong', 'CiarÃ¡n Hinds', 'Dominic West', 'James Purefoy', 'Willem Dafoe']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']",Dan Mindel,Eric Zumbrunnen,"['Andrew Stanton', 'Mark Andrews', 'Michael Chabon']"
Chimpanzee,"['Disneynature', 'Great Ape Productions']","['United States', 'France', 'United Kingdom']","['English', 'French']",77,5000000,34800000,20/04/2012,7.2,57,76%,"['Alastair Fothergill', 'Mark Linfield']","['Alastair Fothergill', 'Mark Linfield', 'Alix Tidmarsh']",,,Nicholas Hooper,Walt Disney Studios Motion Pictures,"['Martyn Colbeck (Ivory Coast)', 'Bill Wallauer (Uganda)']",Andy Netley,
Arjun: The Warrior Prince,"['Walt Disney Pictures', 'Walt Disney Pictures India', 'UTV Motion Pictures']",India,Hindi,96,,,25/05/2012,6.8,N/A,67%,Arnab Chaudhuri,"['Ronnie Screwvala', 'Siddharth Roy Kapur']",,,"['Songs:', 'Vishal Shekhar', 'Background Score:', 'Dhruv Ghanekar']",UTV Motion Pictures,Hemant Chaturvedi,A. Sreekar Prasad,Rajesh Devraj
Brave,"['Walt Disney Pictures', 'Pixar Animation Studios']","['United Kingdom', 'United States']",English,93,185000000,540400000,10/06/2012,7.1,69,78%,"['Mark Andrews', 'Brenda Chapman']",Katherine Sarafian,,"['Kelly Macdonald', 'Emma Thompson', 'Billy Connolly', 'Julie Walters', 'Robbie Coltrane', 'Kevin McKidd', 'Craig Ferguson']",Patrick Doyle,"['Walt Disney Studios', 'Motion Pictures']","['Robert Anderson', 'Danielle Feinberg']",Nicholas C. Smith,"['Mark Andrews', 'Steve Purcell', 'Brenda Chapman', 'Irene Mecchi']"
The Odd Life of Timothy Green,"['Walt Disney Pictures', 'Scott Sanders Productions']",United States,English,104,25000000,56000000,15/08/2012,6.6,47,36%,Peter Hedges,"['Scott Sanders', 'James Whitaker', 'Ahmet Zappa']",,"['Jennifer Garner', 'Joel Edgerton', 'Dianne Wiest', 'CJ Adams', 'Rosemarie DeWitt', 'Ron Livingston', 'David Morse', 'Common']",Geoff Zanelli,"['Walt Disney Studios', 'Motion Pictures']",John Toll,Andrew Mondshein,Peter Hedges
Frankenweenie,"['Walt Disney Pictures', 'Tim Burton Productions']",United States,English,87,39000000,81500000,20/09/2012,6.9,74,87%,Tim Burton,"['Tim Burton', 'Allison Abbate']","['Tim Burton', 'Lenny Ripps']","[""Catherine O'Hara"", 'Martin Short', 'Martin Landau', 'Charlie Tahan', 'Atticus Shaffer', 'Winona Ryder']",Danny Elfman,Walt Disney Studios Motion Pictures,Peter Sorg,"['Chris Lebenzon', 'Mark Solomon']",John August
Wreck-It Ralph,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,101,165000000,471200000,29/10/2012,7.7,72,87%,Rich Moore,Clark Spencer,,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer', 'Jane Lynch']",Henry Jackman,Walt Disney Studios Motion Pictures,Rob Dressel,Tim Mertens,"['Phil Johnston', 'Jennifer Lee']"
Oz the Great and Powerful,,United States,English,130,200,493300000,14/02/2013,6.3,44,57%,Sam Raimi,Joe Roth,"['Oz', 'by', 'L. Frank Baum']","['James Franco', 'Mila Kunis', 'Rachel Weisz', 'Michelle Williams', 'Zach Braff', 'Bill Cobbs', 'Joey King', 'Tony Cox']",Danny Elfman,"['Walt Disney Studios', 'Motion Pictures']",Peter Deming,Bob Murawski,"['Mitchell Kapner', 'David Lindsay-Abaire']"
Wings of Life,"['Disneynature', 'Blacklight Films']","['France', 'United States']","['French', 'English']",77,,,16/03/2011,7.3,N/A,79%,Louis Schwartzberg,"['Grady Candler', 'Alix Tidmarsh']",,,"['Steffen Aaskoven & Marc-George Andersen', 'Bliss']","['Walt Disney Studios Motion Pictures France', '(France)', 'Walt Disney Studios Home Entertainment', '(United States)']",,Jonathan P. Shaw,
Monsters University,,United States,English,104,200000000,743600000,05/06/2013,7.3,65,80%,Dan Scanlon,Kori Rae,,"['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren', 'Peter Sohn', 'Joel Murray', 'Sean Hayes', 'Dave Foley', 'Charlie Day', 'Nathan Fillion']",Randy Newman,"['Walt Disney Studios', 'Motion Pictures']","['Matt Aspbury', 'Jean-Claude Kalache']",Greg Snyder,
The Lone Ranger,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Blind Wink Productions']",United States,English,149,225,260500000,22/06/2013,6.4,37,30%,Gore Verbinski,"['Jerry Bruckheimer', 'Gore Verbinski']","['Fran Striker', 'George W. Trendle']","['Johnny Depp', 'Armie Hammer', 'Tom Wilkinson', 'William Fichtner', 'Barry Pepper', 'James Badge Dale', 'Helena Bonham Carter']",Hans Zimmer,"['Walt Disney Studios', 'Motion Pictures']",Bojan Bazelli,"['James Haygood', 'Craig Wood']","['Justin Haythe', 'Ted Elliott', 'Terry Rossio']"
Planes,"['Walt Disney Pictures', 'Disneytoon Studios']",United States,English,92,50000000,239300000,02/08/2013,5.7,39,25%,Klay Hall,Tracy Balthazor-Flynn,,"['Dane Cook', 'Stacy Keach', 'Teri Hatcher', 'Priyanka Chopra', 'Brad Garrett', 'Julia Louis-Dreyfus', 'Roger Craig Smith', 'John Cleese', 'Carlos Alazraqui', 'Sinbad', 'Val Kilmer', 'Anthony Edwards']",Mark Mancina,"['Walt Disney Studios', 'Motion Pictures']",,Jeremy Milton,Jeffrey M. Howard
Frozen,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,102,150000000,1280000000,19/11/2013,7.4,75,90%,"['Chris Buck', 'Jennifer Lee']",Peter Del Vecho,,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad', 'Santino Fontana']","['Christophe Beck', 'Robert Lopez', 'Kristen Anderson-Lopez']","['Walt Disney Studios', 'Motion Pictures']","['Scott Beattie', '(layout)', 'Mohit Kallianpur', '(lighting)']",Jeff Draheim,Jennifer Lee
Saving Mr. Banks,"['Walt Disney Pictures', 'Ruby Films', 'Essential Media and Entertainment', 'BBC Films', 'Hopscotch Features']","['Australia', 'United Kingdom', 'United States']",English,125,35000000,117900000,20/10/2013,7.5,65,79%,John Lee Hancock,"['Alison Owen', 'Ian Collie', 'Philip Steuer']",,"['Emma Thompson', 'Tom Hanks', 'Paul Giamatti', 'Jason Schwartzman', 'Bradley Whitford', 'Colin Farrell']",Thomas Newman,"['Walt Disney Studios', 'Motion Pictures']",John Schwartzman,Mark Livolsi,
Muppets Most Wanted,"['Walt Disney Pictures', 'Mandeville Films']",United States,English,107,51000000,80400000,11/03/2014,6.4,61,80%,James Bobin,"['David Hoberman', 'Todd Lieberman']",Disney's Muppet characters and properties,"['Ricky Gervais', 'Ty Burrell', 'Tina Fey']",Christophe Beck,Walt Disney Studios Motion Pictures,Don Burgess,James Thomas,
Bears,"['Disneynature', 'Silverback Films']",United States,English,77,5000000,21300000,18/04/2014,7.4,68,90%,"['Alastair Fothergill', 'Keith Scholey']",,,,George Fenton,Walt Disney Studios Motion Pictures,,,
Million Dollar Arm,"['Walt Disney Pictures', 'Roth Films', 'Mayhem Pictures']",United States,"['English Hindi', 'English', 'Hindi']",124,25000000,39200000,06/05/2014,7,56,65%,Craig Gillespie,"['Joe Roth', 'Mark Ciardi', 'Gordon Gray']",,"['Jon Hamm', 'Aasif Mandvi', 'Bill Paxton', 'Suraj Sharma', 'Lake Bell', 'Alan Arkin']",A. R. Rahman,Walt Disney Studios Motion Pictures,Gyula Pados,Tatiana S. Riegel,
Maleficent,"['Walt Disney Pictures', 'Roth Films']",United States,English,97,180,758500000,28/05/2014,7,56,54%,Robert Stromberg,Joe Roth,"[""Disney's Sleeping Beauty and"", 'La Belle au bois dormant written by Charles Perrault']","['Angelina Jolie', 'Sharlto Copley', 'Elle Fanning', 'Sam Riley', 'Imelda Staunton', 'Juno Temple', 'Lesley Manville']",James Newton Howard,Walt Disney Studios Motion Pictures,Dean Semler,"['Chris Lebenzon', 'Richard Pearson']",Linda Woolverton
Planes: Fire & Rescue,"['Walt Disney Pictures', 'Disneytoon Studios']",United States,English,84,50000000,147000000,15/07/2014,6,48,45%,Bobs Gannaway,Ferrell Barron,,"['Dane Cook', 'Stacy Keach', 'Brad Garrett', 'Danny Mann', 'Teri Hatcher', 'Julie Bowen', 'Ed Harris', 'Regina King', 'Wes Studi', 'Dale Dye']",Mark Mancina,"['Walt Disney Studios', 'Motion Pictures']",,Dan Molina,
Khoobsurat,"['Walt Disney Pictures India', 'Anil Kapoor Films Company']",India,Hindi,127,3200000,11000000,19/09/2014,6.4,N/A,80%,Shashanka Ghosh,"['Rhea Kapoor', 'Anil Kapoor', 'Siddharth Roy Kapur']",,"['Sonam Kapoor', 'Fawad Khan']","['Songs:', 'Sneha Khanwalkar', 'Badshah', 'Amaal Mallik', 'Background Score:', 'Simaab Sen']",UTV Motion Pictures,Tushar Kanti Ray,Bakul Matiyani,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","['Walt Disney Pictures', '21 Laps Entertainment', 'The Jim Henson Company']",United States,English,81,28000000,100700000,06/10/2014,6.2,54,61%,Miguel Arteta,"['Shawn Levy', 'Dan Levine', 'Lisa Henson']","['Alexander and the Terrible, Horrible, No Good, Very Bad Day', 'by', 'Judith Viorst']","['Steve Carell', 'Jennifer Garner', 'Ed Oxenbould', 'Dylan Minnette', 'Kerris Dorsey', 'Bella Thorne']",Christophe Beck,"['Walt Disney Studios', 'Motion Pictures']",Terry Stacey,Pamela Martin,Rob Lieber
Big Hero 6,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,102,165000000,657800000,23/10/2014,7.8,74,89%,"['Don Hall', 'Chris Williams']",Roy Conli,['Man of Action'],"['Scott Adsit', 'Ryan Potter', 'Daniel Henney', 'T.J. Miller', 'Jamie Chung', 'Damon Wayans Jr.', 'Genesis Rodriguez', 'James Cromwell', 'Maya Rudolph', 'Alan Tudyk']",Henry Jackman,"['Walt Disney Studios', 'Motion Pictures']","['Rob Dressel (layout)', 'Adolph Lusinsky (lighting)']",Tim Mertens,"['Jordan Roberts', 'Robert L. Baird', 'Dan Gerson']"
Into the Woods,"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",United States,English,124,50000000,213100000,08/12/2014,5.9,69,71%,Rob Marshall,"['Rob Marshall', 'John DeLuca', 'Marc Platt', 'Callum McDougall']","['Into the Woods', 'by', 'Stephen Sondheim', 'James Lapine']","['Meryl Streep', 'Emily Blunt', 'James Corden', 'Anna Kendrick', 'Chris Pine', 'Tracey Ullman', 'Christine Baranski', 'Johnny Depp']",Stephen Sondheim,"['Walt Disney Studios', 'Motion Pictures']",Dion Beebe,Wyatt Smith,James Lapine
"McFarland, USA","['Walt Disney Pictures', 'Mayhem Pictures']",United States,English,129,25000000,45700000,09/02/2015,7.4,60,81%,Niki Caro,"['Gordon Gray', 'Mark Ciardi']",,"['Kevin Costner', 'Maria Bello', 'Morgan Saylor']",AntÃ´nio Pinto,"['Walt Disney Studios', 'Motion Pictures']",Adam Arkapaw,David Coulson,"['Christopher Cleveland', 'Bettina Gilois', 'Grant Thompson']"
Cinderella,"['Walt Disney Pictures', 'Kinberg Genre', 'Allison Shearmur Productions', 'Beagle Pug Films']","['United States', 'United Kingdom']",English,106,95,542400000,13/02/2015,6.9,67,83%,Kenneth Branagh,"['Simon Kinberg', 'Allison Shearmur', 'David Barron']","[""Disney's Cinderella"", 'Cendrillon by Charles Perrault']","['Cate Blanchett', 'Lily James', 'Richard Madden', 'Stellan SkarsgÃ¥rd', 'Holliday Grainger', 'Derek Jacobi', 'Helena Bonham Carter']",Patrick Doyle,"['Walt Disney Studios', 'Motion Pictures']",Haris Zambarloukos,Martin Walsh,Chris Weitz
Monkey Kingdom,"['Disneynature', 'Silverback Films']",United States,English,82,5,17100000,17/04/2015,7.3,72,93%,"['Mark Linfield', 'Alastair Fothergill']","['Mark Linfield', 'Alastair Fothergill']",,,Harry Gregson-Williams,Walt Disney Studios Motion Pictures,"['Martyn Colbeck', 'Gavin Thurston']",Andy Netley,
Tomorrowland,"['Walt Disney Pictures', 'A113 Productions']",United States,English,130,180,209000000,09/05/2015,6.4,60,50%,Brad Bird,"['Damon Lindelof', 'Brad Bird', 'Jeffrey Chernov']",,"['George Clooney', 'Hugh Laurie', 'Britt Robertson', 'Raffey Cassidy', 'Tim McGraw', 'Kathryn Hahn', 'Keegan-Michael Key']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']",Claudio Miranda,"['Walter Murch', 'Craig Wood']","['Damon Lindelof', 'Brad Bird']"
Inside Out,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,94,175000000,858000000,18/05/2015,8.1,94,98%,Pete Docter,Jonas Rivera,,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Lewis Black', 'Bill Hader', 'Mindy Kaling', 'Kaitlyn Dias', 'Diane Lane', 'Kyle MacLachlan']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Patrick Lin', 'Kim White']",Kevin Nolting,"['Pete Docter', 'Meg LeFauve', 'Josh Cooley']"
ABCD 2,Walt Disney Pictures,India,Hindi,154,,,19/06/2015,N/A,N/A,,Remo D'Souza,Siddharth Roy Kapur,,"['Prabhu Deva', 'Varun Dhawan', 'Shraddha Kapoor', 'Lauren Gottlieb', 'Raghav Juyal', 'Punit Pathak', 'Dharmesh Yelande']",Sachinâ€“Jigar,UTV Motion Pictures,Vijay Kumar Arora,Manan Sagar,
The Good Dinosaur,,United States,English,94,175000000,332200000,10/11/2015,6.7,66,76%,Peter Sohn,Denise Ream,,"['Raymond Ochoa', 'Jack Bright', 'Sam Elliott', 'Anna Paquin', 'A.J. Buckley', 'Steve Zahn', 'Jeffrey Wright', 'Frances McDormand']","['Mychael Danna', 'Jeff Danna']","['Walt Disney Studios', 'Motion Pictures']","['Sharon Calahan', 'Mahyar Abousaeedi']",Stephen Schaffer,Meg LeFauve
The Finest Hours,"['Walt Disney Pictures', 'Whitaker Entertainment', 'Red Hawk Entertainment']",United States,English,117,70,52100000,25/01/2016,6.8,58,63%,Craig Gillespie,"['Jim Whitaker', 'Dorothy Aufiero']","[""The Finest Hours: The True Story of the U.S. Coast Guard's Most Daring Sea Rescue"", 'by', 'Michael J. Tougias', 'and', 'Casey Sherman']","['Chris Pine', 'Casey Affleck', 'Ben Foster', 'Holliday Grainger', 'John Ortiz', 'Eric Bana']",Carter Burwell,"['Walt Disney Studios', 'Motion Pictures']",Javier Aguirresarobe,Tatiana S. Riegel,"['Scott Silver', 'Paul Tamasy', 'Eric Johnson']"
Zootopia,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,108,150000000,1024000000,13/02/2016,8,78,98%,"['Byron Howard', 'Rich Moore']",Clark Spencer,,"['Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate', 'Nate Torrence', 'Bonnie Hunt', 'Don Lake', 'Tommy Chong', 'J. K. Simmons', 'Octavia Spencer', 'Alan Tudyk', 'Shakira']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Nathan Warner (layout)', 'Brian Leach (lighting)']","['Fabienne Rawley', 'Jeremy Milton']","['Jared Bush', 'Phil Johnston']"
The Jungle Book,"['Walt Disney Pictures', 'Fairview Entertainment']",United States,English,106,175,966600000,04/04/2016,7.4,77,94%,Jon Favreau,"['Jon Favreau', 'Brigham Taylor']","['The Jungle Book', 'by', 'Rudyard Kipling']","['Bill Murray', 'Ben Kingsley', 'Idris Elba', ""Lupita Nyong'o"", 'Scarlett Johansson', 'Giancarlo Esposito', 'Christopher Walken', 'Neel Sethi']",John Debney,"['Walt Disney Studios', 'Motion Pictures']",Bill Pope,Mark Livolsi,
Tini: The Movie,,"['Spain', 'Italy']",Spanish,98,,17000000,23/04/2016,,,,Juan Pablo Buscarini,Pablo Bossi,,"['Martina Stoessel', 'Jorge Blanco', 'Mercedes Lambre', 'Clara Alonso', 'AdriÃ¡n Salzedo', 'Diego Ramos', 'Sofia Carson', 'Ãngela Molina']",Federico Jusid,Walt Disney Studios Motion Pictures,Josu Inchaustegui,Pablo Mari,
Alice Through the Looking Glass,"['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions']",United States,English,114,170000000,299500000,10/05/2016,6.2,34,29%,James Bobin,"['Joe Roth', 'Suzanne Todd', 'Jennifer Todd', 'Tim Burton']","['Characters', 'by', 'Lewis Carroll']","['Johnny Depp', 'Anne Hathaway', 'Mia Wasikowska', 'Rhys Ifans', 'Helena Bonham Carter', 'Sacha Baron Cohen', 'Alan Rickman', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall']",Danny Elfman,"['Walt Disney Studios', 'Motion Pictures']",Stuart Dryburgh,Andrew Weisblum,
Finding Dory,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,97,175,1029000000,08/06/2016,7.3,77,94%,Andrew Stanton,Lindsey Collins,,"['Ellen DeGeneres', 'Albert Brooks', 'Hayden Rolence', ""Ed O'Neill"", 'Kaitlin Olson', 'Ty Burrell', 'Diane Keaton', 'Eugene Levy']",Thomas Newman,"['Walt Disney Studios', 'Motion Pictures']","['Jeremy Lasky (camera)', 'Ian Megibben (lighting)']",Axel Geddes,"['Andrew Stanton', 'Victoria Strouse']"
The BFG,,United States,English,117,140000000,195200000,14/05/2016,6.4,66,74%,Steven Spielberg,"['Steven Spielberg', 'Frank Marshall', 'Sam Mercer']","['The BFG', 'by', 'Roald Dahl']","['Mark Rylance', 'Ruby Barnhill', 'Penelope Wilton', 'Jemaine Clement', 'Rebecca Hall', 'Rafe Spall', 'Bill Hader']",John Williams,"['Walt Disney Studios', 'Motion Pictures', '(Worldwide)', 'Mister Smith Entertainment', '(', 'EMEA', ')']",Janusz KamiÅ„ski,Michael Kahn,Melissa Mathison
Pete's Dragon,,United States,English,103,65000000,143700000,08/08/2016,6.7,71,88%,David Lowery,James Whitaker,"[""Pete's Dragon"", 'by', 'Malcolm Marmorstein']","['Bryce Dallas Howard', 'Oakes Fegley', 'Wes Bentley', 'Karl Urban', 'Oona Laurence', 'Robert Redford']",Daniel Hart,Walt Disney Studios Motion Pictures,Bojan Bazelli,Lisa Zeno Churgin,"['David Lowery', 'Toby Halbrooks']"
Queen of Katwe,,United States,"['English', 'Luganda']",124,15000000,10400000,10/09/2016,7.4,73,94%,Mira Nair,"['John Carls', 'Lydia Dean Pilcher']","['The Queen of Katwe', 'by', 'Tim Crothers']","['David Oyelowo', ""Lupita Nyong'o"", 'Madina Nalwanga', 'Esteri Tebandeke', 'Peter Odeke', 'Sheebah Karungi']",Alex Heffes,"['Walt Disney Studios', 'Motion Pictures']",Sean Bobbitt,Barry Alexander Brown,William Wheeler
Moana,,['United States'],English,107,150,690800000,14/11/2016,7.6,81,95%,"['Ron Clements', 'John Musker']",Osnat Shurer,,"['AuliÊ»i Cravalho', 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison', 'Jemaine Clement', 'Nicole Scherzinger', 'Alan Tudyk']","['Mark Mancina', 'Lin-Manuel Miranda', ""Opetaia Foa'i""]","['Walt Disney Studios', 'Motion Pictures']","['Rob Dressel (layout)', 'Adolph Lusinsky (lighting)']",Jeff Draheim,Jared Bush
Dangal,"['Aamir Khan Productions', 'Walt Disney Pictures India']",India,Hindi,161,,,21/12/2016,8.4,N/A,88%,Nitesh Tiwari,"['Aamir Khan', 'Kiran Rao', 'Siddharth Roy Kapur']",,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Zaira Wasim', 'Sanya Malhotra', 'Suhani Bhatnagar', 'Aparshakti Khurana', 'Girish Kulkarni']",Pritam,UTV Motion Pictures,Setu (Satyajit Pande),Ballu Saluja,
March of the Penguins,"['Wild Bunch', 'National Geographic Films', 'Bonne Pioche']",France,French,80,8000000,127400000,26/01/2005,7.5,79,94%,Luc Jacquet,"['Yves Darondeau', 'Christophe Lioud', 'Emmanuel Priou']",,,"['Ã‰milie Simon (France)', 'Alex Wurman (US)']",Buena Vista International France,"['Laurent Chalet', 'JÃ©rÃ´me Maison']",Sabine Emiliani,
Beauty and the Beast,"['Walt Disney Pictures', 'Mandeville Films']",United States,English,129,160,1264000000,23/02/2017,8,95,94%,Bill Condon,"['David Hoberman', 'Todd Lieberman']","[""Disney 's Beauty and the Beast by Linda Woolverton"", 'Beauty and the Beast by Jeanne-Marie Leprince de Beaumont']","['Emma Watson', 'Dan Stevens', 'Luke Evans', 'Kevin Kline', 'Josh Gad', 'Ewan McGregor', 'Stanley Tucci', 'Audra McDonald', 'Gugu Mbatha-Raw', 'Ian McKellen', 'Emma Thompson']",Alan Menken,"['Walt Disney Studios', 'Motion Pictures']",Tobias A. Schliessler,Virginia Katz,"['Stephen Chbosky', 'Evan Spiliotopoulos']"
Born in China,"['Disneynature', 'Shanghai Media Group', 'Chuan Films', 'Brian Leith Productions']","['United States', 'China', 'France']","['English', 'Mandarin', 'French']",76,5,25100000,12/08/2016,7.2,57,85%,Lu Chuan,"['Roy Conli', 'Brian Leith', 'Phil Chapman']",,,Barnaby Taylor,"['Walt Disney Studios Motion Pictures', 'Shanghai Media Group', '(China)']",,Matthew Meech,"['David Fowler', 'Brian Leith', 'Phil Chapman', 'Lu Chuan']"
Pirates of the Caribbean: Dead Men Tell No Tales,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",United States,English,129,230,794900000,11/05/2017,6.5,39,29%,"['Joachim RÃ¸nning', 'Espen Sandberg']",Jerry Bruckheimer,"['Characters by Ted Elliott Terry Rossio Stuart Beattie Jay Wolpert', 'Pirates of the Caribbean by Walt Disney']","['Johnny Depp', 'Javier Bardem', 'Geoffrey Rush', 'Brenton Thwaites', 'Kaya Scodelario', 'Kevin McNally']",Geoff Zanelli,"['Walt Disney Studios', 'Motion Pictures']",Paul Cameron,"['Roger Barton', 'Leigh Folsom Boyd']",Jeff Nathanson
Cars 3,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,102,175000000,383900000,23/05/2017,6.7,59,69%,Brian Fee,Kevin Reher,,"['Owen Wilson', 'Cristela Alonzo', 'Chris Cooper', 'Armie Hammer', 'Larry the Cable Guy', 'Bonnie Hunt', 'Nathan Fillion', 'Lea DeLaria', 'Kerry Washington']",Randy Newman,"['Walt Disney Studios', 'Motion Pictures']","['Jeremy Lasky (camera)', 'Kim White (lighting)']",Jason Hudak,"['Kiel Murray', 'Bob Peterson', 'Mike Rich']"
Ghost of the Mountains,"['Disneynature', 'Brian Leith Productions']",United States,English,,,,30/06/2017,6.7,N/A,,Ben Wallis,Brian Leith,,,,Walt Disney Studios Motion Pictures,,,
