title,Production company,Country,Language,Running time,Budget,Box office,Release date,imdb,metascore,rotten_tomatoes,Directed by,Produced by,Based on,Starring,Music by,Distributed by,Cinematography,Edited by,Screenplay by
Air Bud,"['Keystone Pictures', 'Buddy Films, Inc.']","['United States', 'Canada']",English,98,3000000,27800000,01/08/1997,5.2,N/A,45%,Charles Martin Smith,"['Robert Vince', 'William Vince']",,"['Michael Jeter', 'Kevin Zegers', 'Wendy Makkena', 'Eric Christmas', 'Bill Cobbs', 'Air Buddy']",Brahm Wenger,"['Buena Vista Pictures Distribution', '(United States)', 'Malofilm', '(Canada)']",Mike Southon,Alison Grace,
RocketMan,"['Walt Disney Pictures', 'Caravan Pictures', 'Roger Birnbaum Productions']",United States,English,95,16000000,15400000,10/10/1997,7.3,69,,Stuart Gillard,Roger Birnbaum,,"['Harland Williams', 'Jessica Lundy', 'William Sadler', 'Jeffrey DeMunn', 'Beau Bridges']",Michael Tavera,Buena Vista Pictures,Steven Poster,William D. Gordean,
Flubber,"['Walt Disney Pictures', 'Great Oaks']",United States,English,93,80000000,178000000,16/11/1997,5.3,37,24%,Les Mayfield,"['John Hughes', 'Ricardo Mestres']","['""A Situation of Gravity"" by Samuel W. Taylor', 'The Absent-Minded Professor (1961) by Bill Walsh']","['Robin Williams', 'Marcia Gay Harden', 'Christopher McDonald', 'Raymond J. Barry', 'Clancy Brown', 'Ted Levine', 'Jodi Benson']",Danny Elfman,Buena Vista Pictures,Dean Cundey,"['Harvey Rosenstock', 'Michael A. Stevenson']",['John Hughes']
Mr. Magoo,"['Walt Disney Pictures', 'UPA Productions']",United States,English,87,30000000,28900000,25/12/1997,4,18,7%,Stanley Tong,Ben Myron,"['Mr. Magoo', 'by', 'Millard Kaufman', 'John Hubley']","['Leslie Nielsen', 'Kelly Lynch', 'Ernie Hudson', 'Stephen Tobolowsky', 'Nick Chinlund', 'Malcolm McDowell']",Mike Tavera,Buena Vista Pictures,Jingle Ma,"['Michael R. Miller', 'Stuart PappÃ©', 'David Rawlins']",
Meet the Deedles,"['Walt Disney Pictures', 'DIC Entertainment', 'Peak Productions']",United States,English,93,24000000,4400000,27/03/1998,4.1,N/A,7%,Steve Boyum,"['Dale Pollock', 'Aaron Meyerson']",,"['Paul Walker', 'Steve Van Wormer', 'John Ashton', 'A. J. Langer', 'Robert Englund', 'Dennis Hopper']",Steve Bartek,Buena Vista Pictures,David Hennings,Alan Cody,
Mulan,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,87,90000000,304300000,19/06/1998,7.6,71,86%,"['Barry Cook', 'Tony Bancroft']",Pam Coats,Ballad of Mulan by Guo Maoqian,"['Ming-Na Wen', 'Eddie Murphy', 'BD Wong', 'Miguel Ferrer', 'June Foray', 'James Hong', 'Pat Morita', 'George Takei']",Jerry Goldsmith,Buena Vista Pictures,,Michael Kelly,"['Rita Hsiao', 'Philip LaZebnik', 'Chris Sanders', 'Eugenia Bostwick-Singer', 'Raymond Singer']"
The Parent Trap,Walt Disney Pictures,United States,English,128,15000000,92100000,29/07/1998,6.5,64,86%,Nancy Meyers,Charles Shyer,"['Lottie and Lisa', 'by', 'Erich KÃ¤stner']","['Lindsay Lohan', 'Dennis Quaid', 'Natasha Richardson']",Alan Silvestri,Buena Vista Pictures Distribution,Dean Cundey,Stephen A. Rotter,"['David Swift', 'Nancy Meyers', 'Charles Shyer']"
I'll Be Home for Christmas,"['Walt Disney Pictures', 'Mandeville Films']",United States,English,86,30000000,12200000,13/11/1998,5.5,N/A,23%,Arlene Sanford,"['Robin French', 'Justis Greene', 'David Hoberman', 'Tracey Trench']",,"['Jonathan Taylor Thomas', 'Jessica Biel', 'Adam LaVorgna', ""Sean O'Bryan"", 'Gary Cole']",John Debney,Buena Vista Pictures,Hiro Narita,Anita Brandt-Burgoyne,"['Tom Nursall', 'Harris Goldberg']"
A Bug's Life,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,95,120000000,363300000,20/11/1998,7.2,77,92%,John Lasseter,"['Darla K. Anderson', 'Kevin Reher']",,"['Dave Foley', 'Kevin Spacey', 'Julia Louis-Dreyfus']",Randy Newman,Buena Vista Pictures Distribution,Sharon Calahan,Lee Unkrich,"['Andrew Stanton', 'Donald McEnery', 'Bob Shaw']"
Mighty Joe Young,"['Walt Disney Pictures', 'RKO Pictures', 'The Jacobson Company']",United States,English,114,90000000,50600000,25/12/1998,5.6,51,54%,Ron Underwood,"['Ted Hartley', 'Tom Jacobson']","['Mighty Joe Young', 'by', 'Merian C. Cooper', 'Ruth Rose']","['Bill Paxton', 'Charlize Theron', 'Rade Å erbedÅ¾ija', 'Naveen Andrews', 'Regina King', 'David Paymer']",James Horner,Buena Vista Pictures,"['Donald Peterman', 'Oliver Wood']",Paul Hirsch,"['Mark Rosenthal', 'Lawrence Konner']"
