title,Production company,Country,Language,Running time,Budget,Box office,Release date,overview,imdb,metascore,rotten_tomatoes,director,Produced by,Based on,cast,music,Distributed by,Cinematography,Edited by,Screenplay by
Chicken Little,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,81,150000000,314400000,30/10/2005,"After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.",5.7,48,37%,Mark Dindal,Randy Fullmer,Chicken Little,"['Zach Braff', 'Joan Cusack', 'Dan Molina', 'Steve Zahn', 'Garry Marshall', 'Amy Sedaris', 'Mark Walton', 'Don Knotts']",John Debney,Buena Vista Pictures,,Dan Molina,"['Steve Bencich', 'Ron J. Friedman', 'Ron Anderson']"
The Wild,"['Walt Disney Pictures', 'Hoytyboy Pictures', 'Sir Zip Productions', 'Contrafilm', 'C.O.R.E. Feature Animation']","['United States', 'Canada']",English,82,80000000,102300000,14/04/2006,"An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back.",5.3,47,50%,"Steve ""Spaz"" Williams","['Clint Goldman', 'Beau Flynn']",,"['Kiefer Sutherland', 'Jim Belushi', 'Eddie Izzard', 'Janeane Garofalo', 'William Shatner', 'Richard Kind', 'Greg Cipes', 'Patrick Warburton']",Alan Silvestri,Buena Vista Pictures,,"['Scott Balcerek', 'Steven L. Wagner']","['Ed Decter', 'John J. Strauss', 'Mark Gibson', 'Philip Halprin']"
Cars,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,117,120000000,462000000,26/05/2006,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",7.1,73,74%,John Lasseter,Darla K. Anderson,,"['Owen Wilson', 'Paul Newman', 'Bonnie Hunt', 'Larry the Cable Guy']",Randy Newman,Buena Vista Pictures Distribution,"['Jeremy Lasky', 'Jean Claude Kalache']",Ken Schretzmann,"['Dan Fogelman', 'John Lasseter', 'Joe Ranft', 'Kiel Murray', 'Phil Lorin', 'Jorgen Klubien']"
The Nightmare Before Christmas,"['Touchstone Pictures', 'Skellington Productions']",United States,English,76,26000000,91500000,29/10/1993,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",8,82,95%,Henry Selick,"['Tim Burton', 'Denise Di Novi']","['Characters', 'by Tim Burton']","['Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey', 'Glenn Shadix', 'Paul Reubens', 'Ken Page', 'Ed Ivory']",Danny Elfman,Buena Vista Pictures Distribution,Pete Kozachik,Stan Webb,Caroline Thompson
Meet the Robinsons,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,94,150000000,169300000,23/03/2007,"When an orphaned child genius named Lewis has his science fair project ruined by forces from the future he must join with a strange boy who claims to be from the future to steal his invention back, fix it and save a new found family from a bleak future where mind control devices enslave the masses.",6.8,61,67%,Stephen Anderson,Dorothy McKim,"['A Day with Wilbur Robinson', 'by', 'William Joyce']","['Daniel Hansen', 'Jordan Fry', 'Wesley Singerman', 'Angela Bassett', 'Tom Selleck', 'Harland Williams', 'Laurie Metcalf', 'Nicole Sullivan', 'Adam West', 'Ethan Sandler', 'Tom Kenny', 'Stephen Anderson']",Danny Elfman,Buena Vista Pictures Distribution,,Ellen Keneshea,"['Jon Bernstein', 'Michelle Spritz', 'Don Hall', 'Nathan Greno', 'Aurion Redson', 'Joe Mateo', 'Stephen Anderson']"
Ratatouille,,United States,English,111,150000000,620700000,22/06/2007,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,8,96,96%,Brad Bird,Brad Lewis,,"['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Janeane Garofalo', 'Brad Garrett', ""Peter O'Toole"", 'Brian Dennehy', 'Peter Sohn', 'Will Arnett']",Michael Giacchino,Buena Vista Pictures Distribution,"['Sharon Calahan', 'Robert Anderson']","['Darren T. Holmes', 'Stan Webb']",Brad Bird
WALL-E,,United States,,97,180000000,521300000,23/06/2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",8.4,95,95%,Andrew Stanton,Jim Morris,,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver']",Thomas Newman,Walt Disney Studios Motion Pictures,"['Jeremy Lasky', 'Danielle Feinberg']",Stephen Schaffer,"['Andrew Stanton', 'Jim Reardon']"
Bolt,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",United States,English,96,150000000,310000000,21/11/2008,The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,6.8,67,89%,"['Chris Williams', 'Byron Howard']",Clark Spencer,,"['John Travolta', 'Miley Cyrus']",John Powell,"['Walt Disney Studios', 'Motion Pictures']",,Tim Mertens,"['Dan Fogelman', 'Chris Williams']"
Up,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,96,175000000,735100000,29/05/2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",8.2,88,98%,Pete Docter,Jonas Rivera,,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']","['Patrick Lin', 'Jean-Claudie Kalache']",Kevin Nolting,"['Bob Peterson', 'Pete Docter']"
Ponyo,Studio Ghibli,Japan,Japanese,101,,,19/07/2008,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",7.7,86,91%,Hayao Miyazaki,Toshio Suzuki,"['The Little Mermaid', 'by', 'Hans Christian Andersen']","['Tomoko Yamaguchi', 'Kazushige Nagashima', 'YÅ«ki Amami', 'George Tokoro', 'Yuria Nara', 'Hiroki Doi', 'Rumi Hiiragi', 'Akiko Yano', 'Kazuko Yoshiyuki', 'Tomoko Naraoka']",Joe Hisaishi,Toho,Atsushi Okui,Takeshi Seyama,
A Christmas Carol,"['Walt Disney Pictures', 'ImageMovers Digital']",United States,English,96,175000000,325000000,03/11/2009,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",6.8,55,52%,Robert Zemeckis,"['Steve Starkey', 'Robert Zemeckis', 'Jack Rapke']","['A Christmas Carol', 'by', 'Charles Dickens']","['Jim Carrey', 'Gary Oldman', 'Colin Firth', 'Bob Hoskins', 'Robin Wright Penn', 'Cary Elwes']",Alan Silvestri,Walt Disney Studios Motion Pictures,Robert Presley,Jeremiah O'Driscoll,
